device: cuda | torch 2.6.0+cu124 | NVIDIA GeForce GTX 1650
15:02:59  onetime_SPX_High       tcn c04  loss 0.005526  150 epochs   155 s  peak  292 MB
15:05:57  onetime_SPX_High       tcn c08  loss 0.003931  150 epochs   178 s  peak  408 MB
15:07:53  onetime_SPX_High       tcn c13  loss 0.000974  105 epochs   116 s  peak  408 MB
15:10:27  walkforward_SPX_High   tcn c00  loss 0.023431  150 epochs   153 s  peak  442 MB
15:12:39  walkforward_SPX_High   tcn c05  loss 0.002922  131 epochs   131 s  peak  408 MB
15:15:06  walkforward_SPX_High   tcn c10  loss 0.035092  150 epochs   147 s  peak  408 MB
15:17:05  walkforward_SPX_High   tcn c15  loss 0.543307  136 epochs   119 s  peak  408 MB
15:21:55  onetime_SPX_High       trm c04  loss 0.014854  150 epochs   290 s  peak  410 MB
15:26:45  onetime_SPX_High       trm c09  loss 0.024574  150 epochs   289 s  peak  410 MB
15:31:35  onetime_SPX_High       trm c14  loss 0.006002  150 epochs   291 s  peak  410 MB
15:35:44  walkforward_SPX_High   trm c03  loss 0.018594  128 epochs   248 s  peak  410 MB
15:41:15  walkforward_SPX_High   trm c08  loss 0.009875  129 epochs   331 s  peak  410 MB
15:47:16  walkforward_SPX_High   trm c14  loss 0.003321  144 epochs   360 s  peak  410 MB
15:49:33  onetime_SPX_Low        tcn c02  loss 0.006608  150 epochs   137 s  peak  408 MB
15:51:17  onetime_SPX_Low        tcn c06  loss 0.001705  117 epochs   104 s  peak  408 MB
15:53:45  onetime_SPX_Low        tcn c11  loss 0.003483  150 epochs   147 s  peak  408 MB
15:56:28  walkforward_SPX_Low    tcn c00  loss 0.020306  150 epochs   163 s  peak  408 MB
15:58:40  walkforward_SPX_Low    tcn c05  loss 0.002701  131 epochs   132 s  peak  408 MB
16:01:37  walkforward_SPX_Low    tcn c10  loss 0.034347  150 epochs   177 s  peak  408 MB
16:02:43  walkforward_SPX_Low    tcn c15  loss 0.329317   68 epochs    66 s  peak  408 MB
16:07:57  onetime_SPX_Low        trm c01  loss 0.017553  150 epochs   314 s  peak  410 MB
16:13:37  onetime_SPX_Low        trm c07  loss 0.005815  150 epochs   339 s  peak  410 MB
16:19:15  onetime_SPX_Low        trm c13  loss 0.002924  150 epochs   338 s  peak  410 MB
16:23:32  walkforward_SPX_Low    trm c02  loss 0.034863  124 epochs   257 s  peak  410 MB
16:28:27  walkforward_SPX_Low    trm c05  loss 0.010793  150 epochs   295 s  peak  410 MB
16:33:34  walkforward_SPX_Low    trm c10  loss 0.077060  150 epochs   307 s  peak  410 MB
16:35:40  onetime_SSEC_High      tcn c00  loss 0.018061  150 epochs   125 s  peak  302 MB
16:37:43  onetime_SSEC_High      tcn c03  loss 0.007248  150 epochs   123 s  peak  406 MB
16:39:59  onetime_SSEC_High      tcn c06  loss 0.001441  150 epochs   136 s  peak  406 MB
16:42:16  onetime_SSEC_High      tcn c12  loss 0.001019  150 epochs   136 s  peak  406 MB
16:44:31  walkforward_SSEC_High  tcn c00  loss 0.021191  150 epochs   135 s  peak  406 MB
16:46:33  walkforward_SSEC_High  tcn c05  loss 0.002362  134 epochs   121 s  peak  406 MB
16:48:51  walkforward_SSEC_High  tcn c10  loss 0.036251  150 epochs   139 s  peak  406 MB
16:50:59  walkforward_SSEC_High  tcn c15  loss 0.504454  150 epochs   127 s  peak  406 MB
16:55:56  onetime_SSEC_High      trm c04  loss 0.013527  150 epochs   297 s  peak  406 MB
17:00:35  onetime_SSEC_High      trm c09  loss 0.049175  127 epochs   279 s  peak  406 MB
17:05:29  onetime_SSEC_High      trm c14  loss 0.003250  150 epochs   294 s  peak  406 MB
17:10:26  walkforward_SSEC_High  trm c02  loss 0.029216  150 epochs   297 s  peak  406 MB
17:15:00  walkforward_SSEC_High  trm c07  loss 0.006294  150 epochs   274 s  peak  406 MB
17:19:14  walkforward_SSEC_High  trm c12  loss 0.006688  137 epochs   253 s  peak  406 MB
17:21:05  onetime_SSEC_Low       tcn c01  loss 0.010224  150 epochs   111 s  peak  406 MB
17:22:46  onetime_SSEC_Low       tcn c03  loss 0.006966  130 epochs   101 s  peak  406 MB
17:24:59  onetime_SSEC_Low       tcn c06  loss 0.001472  150 epochs   133 s  peak  406 MB
17:27:16  onetime_SSEC_Low       tcn c11  loss 0.004263  150 epochs   137 s  peak  406 MB
17:29:02  onetime_SSEC_Low       tcn c16  loss 0.509469  114 epochs   106 s  peak  406 MB
17:31:26  walkforward_SSEC_Low   tcn c03  loss 0.004969  150 epochs   144 s  peak  406 MB
17:33:50  walkforward_SSEC_Low   tcn c08  loss 0.003872  150 epochs   143 s  peak  406 MB
17:36:02  walkforward_SSEC_Low   tcn c14  loss 0.000480  150 epochs   133 s  peak  406 MB
17:40:46  onetime_SSEC_Low       trm c03  loss 0.019601  150 epochs   284 s  peak  406 MB
17:45:32  onetime_SSEC_Low       trm c08  loss 0.011632  150 epochs   286 s  peak  406 MB
17:50:47  onetime_SSEC_Low       trm c14  loss 0.002955  150 epochs   315 s  peak  406 MB
20:43:55  walkforward_SSEC_Low   trm c02  loss 0.032471  150 epochs  10388 s  peak  406 MB
20:52:50  walkforward_SSEC_Low   trm c07  loss 0.004948  150 epochs   534 s  peak  406 MB
21:01:02  walkforward_SSEC_Low   trm c13  loss 0.003774  150 epochs   492 s  peak  406 MB
